123421342    324242  	2A  	2	First test
134241424    232423  	1A  	3	Third test
2342352314   32413   	3A  	3	Second test
142413413    1132431 	1B  	1	Fourth Test
28899900675  66453411	2A  	1	Mohammed Ahmed
28889900432  66439724	2A  	3	Shaikha AlMannai
234432334    234334  	2A  	2	ersgfv rvsfwrs
28899900675  66453411	2A  	1	Mohammed Ahmed
28899900675  66453411	2A  	1	Mohammed Ahmed
28889900432  66439724	2A  	3	Shaikha AlMannai
234432334    234334  	2A  	2	ersgfv rvsfwrs
28899900675  66453411	2A  	1	Mohammed Ahmed
100E         55986743	100D	2	Salem Abdulaziz
100G         55986743	99A 	1	Salem Abdulaziz
100F         66439724	1B  	3	Shaikha AlMannai
28899900675  66453411	2A  	1	Mohammed Ahmed
28899900675  66453411	2A  	1	Mohammed Ahmed
234432334    234334  	2A  	2	ersgfv rvsfwrs
28899900675  66453411	2A  	1	Mohammed Ahmed
28899900675  66453411	2A  	1	Mohammed Ahmed
234432334    234334  	2A  	2	ersgfv rvsfwrs
28899900675  66453411	2A  	1	Mohammed Ahmed
28899900675  66453411	1A  	1	Mohammed Ahmed
29988800543  55986743	2A  	2	Salem Abdulaziz
29988800543  55986743	2A  	1	Salem Abdulaziz
28889900432  66439724	55B 	3	Shaikha AlMannai
